                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4532,                 3.2403,                 1.5348,                0.00632,                      1,                0.55318,                0.26366,                 1.5511,                 3.4759,                 1.1744,                0.00024,                0.00024,                0.00024
                      2,                 1.2591,                  1.943,                 1.2447,                0.33685,                0.80556,                0.73572,                0.34246,                 1.2936,                 3.1246,                 1.0636,              0.0004901,              0.0004901,              0.0004901
                      3,                 1.1401,                 1.5249,                 1.1614,                      1,                 0.2158,                0.75004,                0.45783,                 1.3525,                 3.0926,                  1.125,              0.0007299,              0.0007299,              0.0007299
                      4,                 1.2051,                 1.3545,                 1.1777,                0.01829,                0.72222,                0.37581,                0.17523,                  1.291,                 3.2876,                 1.1476,             0.00095941,             0.00095941,             0.00095941
                      5,                 1.1906,                  1.415,                 1.1635,                      1,                0.48019,                0.77366,                0.48019,                 1.2386,                 2.6996,                 1.0732,              0.0011786,              0.0011786,              0.0011786
                      6,                 1.2124,                 1.3238,                 1.1812,                0.90357,                   0.75,                0.80715,                 0.5416,                 1.2648,                  2.311,                 1.0988,              0.0013875,              0.0013875,              0.0013875
                      7,                 1.1298,                 1.3562,                 1.1574,                0.81779,                0.69444,                0.71883,                 0.4776,                 1.4235,                 2.3937,                 1.1753,              0.0015862,              0.0015862,              0.0015862
                      8,                 1.1115,                 1.2459,                   1.13,                0.70035,                0.63889,                0.69188,                0.44847,                  1.376,                  2.295,                 1.1356,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.1407,                 1.2216,                 1.1339,                0.94245,                0.80556,                 0.8919,                0.52735,                 1.3127,                 1.7965,                 1.1615,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.0589,                 1.1272,                 1.0868,                0.87543,                 0.7809,                0.85799,                0.52874,                 1.3062,                 1.8073,                  1.143,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.1464,                 1.2101,                 1.1229,                0.80441,                0.77778,                0.80573,                0.44728,                  1.431,                 1.9509,                 1.2368,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.1166,                 1.1228,                 1.1184,                0.91088,                0.85188,                0.91773,                0.56693,                 1.2979,                 1.5013,                 1.1539,               0.001604,               0.001604,               0.001604
                     13,                 1.0921,                 1.1162,                 1.1579,                0.94156,                0.89527,                 0.9374,                0.59784,                 1.2821,                 1.4083,                 1.1587,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.0417,                 1.0862,                 1.0932,                 0.9424,                0.90904,                0.92441,                0.60678,                 1.2789,                 1.2598,                 1.1354,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.0213,                 1.1382,                 1.1061,                      1,                0.94372,                0.98604,                0.62228,                 1.3301,                 1.0601,                 1.1686,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.0111,                 1.0114,                 1.0647,                0.97134,                0.94136,                0.98628,                 0.6184,                 1.2644,                 1.0834,                  1.161,              0.0014456,              0.0014456,              0.0014456
                     17,                0.95271,                0.99278,                 1.0724,                0.94647,                0.98253,                0.98837,                 0.6365,                 1.2344,                 1.0556,                 1.1707,               0.001406,               0.001406,               0.001406
                     18,                0.92168,                0.93559,                 1.0431,                0.93571,                0.94444,                 0.9833,                0.64989,                  1.237,                0.95564,                 1.1492,              0.0013664,              0.0013664,              0.0013664
                     19,                 0.9266,                0.93897,                  1.088,                      1,                0.88547,                0.96315,                0.62729,                 1.2405,                0.91155,                  1.121,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.0001,                0.93591,                 1.0694,                0.99505,                0.94444,                0.97362,                0.64337,                 1.2773,                  0.954,                  1.117,              0.0012872,              0.0012872,              0.0012872
                     21,                 0.9713,                0.91092,                 1.0678,                0.97208,                0.96737,                0.97273,                0.63926,                 1.1991,                0.89967,                 1.1106,              0.0012476,              0.0012476,              0.0012476
                     22,                0.91006,                0.82948,                 1.0311,                0.96763,                0.97222,                0.98719,                0.66741,                 1.2388,                0.90517,                 1.1249,               0.001208,               0.001208,               0.001208
                     23,                0.91099,                 0.8327,                  1.051,                0.93895,                0.97222,                0.97645,                 0.6772,                 1.1768,                0.91782,                   1.09,              0.0011684,              0.0011684,              0.0011684
                     24,                0.90893,                0.87131,                 1.0522,                0.92088,                0.94444,                0.96849,                0.64816,                  1.146,                0.97712,                  1.081,              0.0011288,              0.0011288,              0.0011288
                     25,                0.99609,                0.85073,                 1.0805,                0.94177,                0.94444,                0.96417,                0.64715,                 1.1579,                0.96026,                 1.0743,              0.0010892,              0.0010892,              0.0010892
                     26,                0.86013,                0.79228,                 1.0162,                0.97126,                0.93882,                0.97292,                0.65877,                 1.1762,                0.96366,                 1.0553,              0.0010496,              0.0010496,              0.0010496
                     27,                 0.8698,                0.81662,                 1.0103,                0.96068,                0.91667,                0.94837,                 0.6468,                 1.1982,                 1.0073,                 1.0738,                0.00101,                0.00101,                0.00101
                     28,                0.86052,                0.82677,                 1.0112,                0.93614,                0.91667,                 0.9577,                0.62542,                 1.2325,                 0.9839,                 1.1047,              0.0009704,              0.0009704,              0.0009704
                     29,                0.82824,                0.77739,                  1.019,                0.95876,                0.91667,                0.97517,                0.64622,                 1.2532,                0.90299,                 1.1024,              0.0009308,              0.0009308,              0.0009308
                     30,                0.86697,                0.74857,                 1.0232,                0.99159,                0.97222,                0.99395,                0.67976,                  1.188,                0.75922,                 1.0844,              0.0008912,              0.0008912,              0.0008912
                     31,                0.91542,                0.76422,                 1.0671,                      1,                0.99585,                  0.995,                0.67933,                 1.1648,                0.76903,                 1.0804,              0.0008516,              0.0008516,              0.0008516
                     32,                0.84422,                0.69837,                 1.0124,                      1,                0.99699,                  0.995,                0.66942,                   1.18,                 0.7423,                 1.0797,               0.000812,               0.000812,               0.000812
                     33,                0.82171,                 0.7488,                 1.0218,                0.98984,                      1,                  0.995,                0.69276,                 1.1913,                0.76428,                 1.0695,              0.0007724,              0.0007724,              0.0007724
                     34,                0.78216,                0.71216,                0.99943,                0.98268,                      1,                  0.995,                0.69175,                 1.1918,                0.76394,                 1.0556,              0.0007328,              0.0007328,              0.0007328
                     35,                0.79762,                0.73656,                 1.0145,                      1,                0.99477,                  0.995,                0.69266,                 1.2434,                0.75165,                 1.0831,              0.0006932,              0.0006932,              0.0006932
                     36,                0.80556,                0.70861,                0.99864,                0.99702,                0.97222,                0.99446,                0.67212,                   1.21,                0.70881,                 1.1051,              0.0006536,              0.0006536,              0.0006536
                     37,                 0.8125,                0.70116,                0.99458,                      1,                0.99622,                  0.995,                0.68033,                 1.1834,                0.70515,                 1.0932,               0.000614,               0.000614,               0.000614
                     38,                0.78147,                0.67852,                 1.0102,                0.99818,                0.97222,                0.99446,                0.71682,                 1.1604,                0.67795,                 1.0677,              0.0005744,              0.0005744,              0.0005744
                     39,                0.77605,                0.74027,                0.98735,                      1,                0.99416,                  0.995,                0.71994,                 1.1475,                0.70488,                 1.0586,              0.0005348,              0.0005348,              0.0005348
                     40,                0.72361,                0.62718,                0.95344,                      1,                0.99756,                  0.995,                0.71321,                 1.1416,                0.74112,                 1.0512,              0.0004952,              0.0004952,              0.0004952
                     41,                0.74234,                0.71846,                0.94859,                0.97157,                0.94953,                0.99089,                0.70757,                 1.1617,                0.95492,                 1.0652,              0.0004556,              0.0004556,              0.0004556
                     42,                0.68966,                0.68257,                0.91996,                0.97113,                0.93464,                0.98886,                0.70115,                 1.1719,                 1.0391,                 1.0649,               0.000416,               0.000416,               0.000416
                     43,                 0.6889,                0.70842,                 0.9422,                0.97154,                0.94824,                0.99365,                0.69215,                 1.1933,                0.93479,                 1.0619,              0.0003764,              0.0003764,              0.0003764
                     44,                0.67685,                0.62305,                0.92774,                      1,                0.98814,                  0.995,                0.68927,                 1.2103,                0.76452,                 1.0738,              0.0003368,              0.0003368,              0.0003368
                     45,                0.66336,                0.62995,                0.92256,                0.97094,                      1,                0.99446,                0.69003,                  1.217,                0.72886,                 1.0796,              0.0002972,              0.0002972,              0.0002972
                     46,                 0.6399,                0.62055,                 0.9006,                0.97133,                      1,                0.99446,                0.69786,                   1.23,                0.68861,                 1.0882,              0.0002576,              0.0002576,              0.0002576
                     47,                0.64022,                0.62067,                0.91633,                0.97053,                      1,                0.99446,                0.70278,                 1.2368,                0.68611,                 1.0981,               0.000218,               0.000218,               0.000218
                     48,                0.65094,                0.61587,                0.91317,                0.99586,                0.97222,                0.99446,                0.69025,                 1.2421,                0.68565,                 1.1075,              0.0001784,              0.0001784,              0.0001784
                     49,                0.59187,                0.59667,                0.88758,                      1,                0.99138,                  0.995,                0.69059,                 1.2481,                0.71434,                 1.1123,              0.0001388,              0.0001388,              0.0001388
                     50,                0.62321,                0.60207,                0.88368,                      1,                0.99314,                  0.995,                0.68621,                  1.247,                0.73236,                 1.1102,               9.92e-05,               9.92e-05,               9.92e-05
