                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74608,                0.63008,                0.96591,                0.97196,                      1,                0.99446,                0.68309,                 1.1914,                 0.6633,                 1.0693,                0.00024,                0.00024,                0.00024
                      2,                0.79227,                0.68438,                0.99446,                      1,                0.93824,                0.99263,                0.68928,                 1.1698,                0.74666,                 1.0712,              0.0004901,              0.0004901,              0.0004901
                      3,                0.77709,                0.64401,                 1.0028,                0.96757,                0.91667,                0.98442,                0.64932,                 1.2274,                0.87344,                 1.1381,              0.0007299,              0.0007299,              0.0007299
                      4,                0.80572,                0.65966,                 1.0001,                0.92678,                0.88889,                0.96487,                0.65499,                 1.1758,                0.95954,                  1.096,             0.00095941,             0.00095941,             0.00095941
                      5,                0.84435,                0.69169,                 1.0362,                0.84888,                0.93633,                0.95039,                0.62883,                 1.1977,                0.92454,                 1.1265,              0.0011786,              0.0011786,              0.0011786
                      6,                0.83215,                0.67896,                 1.0197,                 0.9084,                0.82661,                0.93907,                 0.6485,                 1.2449,                0.94342,                 1.1415,              0.0013875,              0.0013875,              0.0013875
                      7,                0.83261,                0.68842,                  1.034,                0.97757,                0.83333,                 0.9324,                0.64884,                 1.2868,                 1.1883,                 1.1518,              0.0015862,              0.0015862,              0.0015862
                      8,                 0.8586,                0.69953,                 1.0192,                0.96912,                0.87199,                0.96388,                 0.6026,                 1.2505,                 1.0312,                 1.1603,              0.0017228,              0.0017228,              0.0017228
                      9,                0.84768,                0.65869,                 1.0055,                 0.9206,                0.96632,                0.97846,                0.64948,                 1.2452,                0.77516,                 1.1365,              0.0017228,              0.0017228,              0.0017228
                     10,                0.85296,                0.67352,                 1.0023,                      1,                0.91454,                 0.9808,                0.66631,                 1.2455,                0.78925,                 1.1464,              0.0016832,              0.0016832,              0.0016832
                     11,                0.93436,                0.69553,                 1.0284,                0.96515,                0.86111,                0.93055,                0.60711,                 1.3533,                 1.0961,                 1.1923,              0.0016436,              0.0016436,              0.0016436
                     12,                0.88752,                0.69027,                 1.0201,                0.94408,                0.91667,                 0.9486,                0.61301,                 1.2884,                0.98418,                 1.1389,               0.001604,               0.001604,               0.001604
                     13,                0.88611,                0.70933,                 1.0447,                0.96611,                0.94444,                0.97672,                0.64345,                 1.3238,                0.84372,                 1.1558,              0.0015644,              0.0015644,              0.0015644
                     14,                0.83151,                0.68548,                0.99832,                0.96964,                0.88732,                0.96953,                 0.6781,                 1.2181,                0.89608,                 1.0596,              0.0015248,              0.0015248,              0.0015248
                     15,                0.82493,                0.65842,                 1.0121,                 0.9714,                 0.9434,                0.97534,                0.68258,                 1.2038,                0.80778,                  1.073,              0.0014852,              0.0014852,              0.0014852
                     16,                0.79056,                0.62534,                0.98125,                0.96813,                0.94444,                0.97663,                0.63783,                 1.2238,                0.75503,                 1.1281,              0.0014456,              0.0014456,              0.0014456
                     17,                0.73732,                0.60221,                0.97192,                0.96992,                0.97222,                0.97355,                0.64553,                 1.2073,                0.67956,                 1.1677,               0.001406,               0.001406,               0.001406
                     18,                0.72435,                0.59482,                0.97038,                0.96958,                0.97222,                0.97437,                0.65667,                 1.2192,                0.67032,                   1.16,              0.0013664,              0.0013664,              0.0013664
                     19,                0.77067,                0.64883,                 1.0058,                0.99672,                0.97222,                0.98423,                0.67754,                 1.2165,                0.64596,                 1.1475,              0.0013268,              0.0013268,              0.0013268
                     20,                0.77355,                0.58864,                0.98668,                0.99687,                0.94444,                0.97744,                0.64968,                 1.2434,                0.69851,                  1.178,              0.0012872,              0.0012872,              0.0012872
                     21,                0.79382,                0.64696,                0.99609,                0.99721,                0.94444,                0.97272,                 0.6595,                 1.2063,                0.69758,                 1.1682,              0.0012476,              0.0012476,              0.0012476
                     22,                 0.7485,                0.58498,                0.98122,                      1,                0.93744,                0.97352,                0.66859,                 1.2048,                0.69742,                 1.1501,               0.001208,               0.001208,               0.001208
                     23,                  0.752,                 0.6058,                0.98603,                      1,                0.97128,                0.97731,                0.63477,                 1.2656,                0.70205,                 1.1772,              0.0011684,              0.0011684,              0.0011684
                     24,                0.77028,                0.60498,                  1.012,                      1,                0.96912,                0.97628,                0.66278,                 1.2167,                0.67588,                 1.1636,              0.0011288,              0.0011288,              0.0011288
                     25,                0.78815,                0.57608,                 1.0096,                      1,                0.96796,                0.97533,                0.67414,                 1.1939,                0.63815,                 1.1388,              0.0010892,              0.0010892,              0.0010892
                     26,                0.73545,                0.57292,                0.98646,                      1,                0.96754,                0.97535,                0.67163,                 1.1932,                0.63798,                  1.122,              0.0010496,              0.0010496,              0.0010496
                     27,                0.70376,                 0.5624,                 0.9672,                0.99945,                0.94444,                0.97912,                0.66878,                 1.2017,                0.65191,                 1.1384,                0.00101,                0.00101,                0.00101
                     28,                0.74609,                0.57981,                0.97792,                0.96341,                0.94444,                0.97525,                 0.6535,                 1.2466,                 0.6675,                 1.1681,              0.0009704,              0.0009704,              0.0009704
                     29,                0.70353,                0.50419,                0.97103,                0.98578,                0.88889,                0.97089,                0.63491,                 1.2372,                0.69417,                 1.1705,              0.0009308,              0.0009308,              0.0009308
                     30,                 0.6979,                0.51913,                0.96031,                      1,                0.91542,                0.98226,                0.67868,                 1.1785,                 0.6816,                 1.1219,              0.0008912,              0.0008912,              0.0008912
                     31,                0.70913,                0.54177,                0.98643,                      1,                0.97074,                0.98786,                0.68433,                 1.1371,                0.60591,                 1.0904,              0.0008516,              0.0008516,              0.0008516
                     32,                0.69352,                0.48817,                 0.9455,                0.98925,                0.97222,                0.98969,                0.69036,                  1.139,                0.56378,                 1.0788,               0.000812,               0.000812,               0.000812
                     33,                0.67118,                0.52853,                0.98175,                0.99535,                0.97222,                0.99346,                 0.6856,                 1.1691,                0.56314,                 1.0787,              0.0007724,              0.0007724,              0.0007724
                     34,                0.67735,                0.49385,                0.95606,                 0.9828,                0.97222,                0.99395,                0.68746,                  1.192,                0.59453,                 1.0869,              0.0007328,              0.0007328,              0.0007328
                     35,                 0.6356,                0.51512,                0.95895,                0.99361,                0.97222,                0.99395,                0.68876,                 1.2201,                0.63939,                 1.1003,              0.0006932,              0.0006932,              0.0006932
                     36,                0.67504,                0.51311,                0.96575,                      1,                0.99857,                  0.995,                0.67969,                 1.1915,                0.57367,                 1.0988,              0.0006536,              0.0006536,              0.0006536
                     37,                 0.6513,                0.48843,                0.94228,                      1,                      1,                  0.995,                0.69192,                 1.1725,                0.55138,                 1.0895,               0.000614,               0.000614,               0.000614
                     38,                0.65924,                0.47801,                0.95309,                0.99473,                      1,                  0.995,                0.69486,                 1.1686,                0.55685,                  1.093,              0.0005744,              0.0005744,              0.0005744
                     39,                0.64386,                0.52947,                0.94041,                      1,                0.99875,                  0.995,                 0.6894,                 1.1854,                0.54354,                 1.1052,              0.0005348,              0.0005348,              0.0005348
                     40,                0.63059,                0.48494,                0.92409,                0.96811,                      1,                0.99446,                0.68781,                 1.1699,                0.56301,                 1.1029,              0.0004952,              0.0004952,              0.0004952
                     41,                0.59062,                0.48614,                0.89731,                0.95587,                0.94444,                0.98923,                0.69374,                 1.1373,                  0.772,                 1.0974,              0.0004556,              0.0004556,              0.0004556
                     42,                0.57042,                0.45025,                0.88393,                0.96233,                0.94444,                0.98666,                0.68412,                  1.128,                0.84409,                 1.1018,               0.000416,               0.000416,               0.000416
                     43,                0.59379,                0.45606,                0.90509,                0.99768,                0.94444,                0.99052,                 0.6702,                 1.1523,                0.83051,                 1.1251,              0.0003764,              0.0003764,              0.0003764
                     44,                0.54473,                0.40711,                0.87618,                      1,                0.96259,                  0.993,                0.65893,                 1.1789,                0.73479,                 1.1514,              0.0003368,              0.0003368,              0.0003368
                     45,                0.53776,                0.42322,                 0.8802,                      1,                0.96509,                  0.993,                0.65636,                 1.1983,                0.70353,                 1.1596,              0.0002972,              0.0002972,              0.0002972
                     46,                0.56399,                0.41477,                0.87823,                      1,                0.96378,                0.99395,                0.65961,                 1.2182,                0.66627,                  1.173,              0.0002576,              0.0002576,              0.0002576
                     47,                0.55706,                0.41419,                0.88776,                      1,                0.96382,                0.99346,                0.66403,                 1.2136,                0.65994,                 1.1645,               0.000218,               0.000218,               0.000218
                     48,                0.51767,                0.41164,                0.86552,                      1,                0.96461,                0.99346,                 0.6685,                 1.2123,                0.65709,                 1.1641,              0.0001784,              0.0001784,              0.0001784
                     49,                 0.5044,                0.39337,                0.85091,                      1,                0.96719,                0.99446,                0.67284,                 1.2019,                0.64854,                 1.1609,              0.0001388,              0.0001388,              0.0001388
                     50,                0.50428,                0.39727,                0.84322,                      1,                0.96712,                0.99446,                0.67033,                 1.1966,                  0.656,                 1.1591,               9.92e-05,               9.92e-05,               9.92e-05
